# Teff	logg	[Fe/H]	2MASS_H	2MASS_J	2MASS_Ks	GROUND_JOHNSON_U	GROUND_JOHNSON_V	GROUND_JOHNSON_B	GaiaDR2v2_G	GaiaDR2v2_RP	GaiaDR2v2_BP	PS1_g	PS1_i	PS1_r	PS1_w	PS1_y	PS1_z	SDSS_g	SDSS_i	SDSS_r	SDSS_u	SDSS_z	WISE_RSR_W1	WISE_RSR_W2	GALEX_FUV	GALEX_NUV
3.500000000000000000e+03	0.000000000000000000e+00	-1.000000000000000056e-01	4.642004096267049789e+09	4.940669355883055687e+09	2.158171675765942097e+09	4.451335337371805310e+07	2.155562079790131092e+09	5.986289115774649382e+08	3.053073377356939316e+09	3.976829639454097748e+09	1.857239114510370016e+09	1.279881563727391720e+09	3.671921073777070045e+09	2.847735901364332676e+09	2.900153185159820557e+09	5.201800627459254265e+09	4.750102506583483696e+09	1.054433881404241323e+09	3.605982588701145172e+09	2.938355008632820129e+09	3.371754398301220685e+07	4.848419356505617142e+09	4.473269407588893771e+08	1.070741087990770489e+08	3.052841839825865249e-03	1.305571429733019977e+04
3.500000000000000000e+03	5.000000000000000000e-01	-1.000000000000000056e-01	4.734030620476636887e+09	4.936593839389930725e+09	2.162856590452452660e+09	5.862027932793411613e+07	2.135913533902955294e+09	6.614146675620359182e+08	2.963903444389896870e+09	3.842441831831753731e+09	1.833451383183762550e+09	1.321747535885938883e+09	3.510792737884543896e+09	2.712601076730379105e+09	2.783034506119783878e+09	5.129617745823936462e+09	4.677569430998806000e+09	1.102449086826637506e+09	3.445443616075635910e+09	2.809484398359382629e+09	4.427508077162168920e+07	4.772310665636677742e+09	4.482637471777836084e+08	1.076516759775196612e+08	7.234466775662411198e-03	1.979596977713715751e+04
3.500000000000000000e+03	1.000000000000000000e+00	-1.000000000000000056e-01	4.815323752576476097e+09	4.951464186455008507e+09	2.166347098722774506e+09	7.591901481891685724e+07	2.088512515783500433e+09	7.167701682708808184e+08	2.868979589512015343e+09	3.712814178160996437e+09	1.790246344285729647e+09	1.341363136064105272e+09	3.355869655120303154e+09	2.566510388634126663e+09	2.661407378421300888e+09	5.069675803861316681e+09	4.603363119438076019e+09	1.132346163319351196e+09	3.291923793534462929e+09	2.664386763908702374e+09	5.730388680965148658e+07	4.698978270539331436e+09	4.492346555363584757e+08	1.084492201317608654e+08	1.481830154337533505e-02	2.920686684321212306e+04
3.500000000000000000e+03	1.500000000000000000e+00	-1.000000000000000056e-01	4.888331056721722603e+09	4.977726685487704277e+09	2.169909560927066326e+09	9.563709459843584895e+07	2.020528580142522335e+09	7.633823405100606680e+08	2.770765761141644001e+09	3.587733104160130024e+09	1.733489504650783777e+09	1.341710643328652859e+09	3.207918703777761936e+09	2.417743122892857075e+09	2.539147079204852581e+09	5.013475489403611183e+09	4.524831753993100166e+09	1.145790956199331999e+09	3.145889427295692921e+09	2.513050825415182114e+09	7.232287592920377851e+07	4.624310074195411682e+09	4.503204911036618948e+08	1.091959702280742079e+08	3.007130554854399104e-02	4.097606250523062772e+04
3.500000000000000000e+03	2.000000000000000000e+00	-1.000000000000000056e-01	4.905728484656083107e+09	5.025143403707683563e+09	2.150696637222363949e+09	1.174285135020193756e+08	1.981715443183674812e+09	8.151012400976630449e+08	2.719741726971013546e+09	3.521671082605873585e+09	1.706449512086490154e+09	1.353991895621635914e+09	3.124517366889389515e+09	2.328932439483714581e+09	2.470643354174685955e+09	5.000762290795953751e+09	4.493466023075056076e+09	1.168423720651054382e+09	3.064037093162907600e+09	2.421474738887375355e+09	8.915459437095427513e+07	4.596359241991926193e+09	4.502872720633567572e+08	1.101954875508254915e+08	5.930131194678817108e-02	5.729859614852046798e+04
3.500000000000000000e+03	2.500000000000000000e+00	-1.000000000000000056e-01	4.939914783011868477e+09	5.055768324245341301e+09	2.149117790697083473e+09	1.355231845252092779e+08	1.916396237116525650e+09	8.448072516035994291e+08	2.653118882479515553e+09	3.444347937834821224e+09	1.658734721653360128e+09	1.337883670630267620e+09	3.032990254665185452e+09	2.228974615483964920e+09	2.389679579170724392e+09	4.968442292732360840e+09	4.441866692105625153e+09	1.164118613831409931e+09	2.974140779568648815e+09	2.317448990849715710e+09	1.033959154039826095e+08	4.549207723579055786e+09	4.510257816535394788e+08	1.115337148506839126e+08	1.049924948487866716e-01	7.571409294654437690e+04
3.500000000000000000e+03	3.000000000000000000e+00	-1.000000000000000056e-01	4.845263165939774513e+09	5.067571233303932190e+09	2.107664183980039358e+09	1.535714724473784268e+08	1.972842507079027891e+09	8.895783828396046162e+08	2.742544822382724762e+09	3.554046668777190685e+09	1.720466753171116352e+09	1.380232355053802490e+09	3.145019923347642422e+09	2.320994152235097408e+09	2.481449134411855698e+09	5.066561679909191132e+09	4.557687102833902359e+09	1.204097528694124699e+09	3.085312986186572075e+09	2.411299234990814209e+09	1.183312621124138385e+08	4.659312719726105690e+09	4.470685661108033657e+08	1.133501002656724304e+08	2.096750112427616386e-01	1.060561850821811968e+05
3.500000000000000000e+03	3.500000000000000000e+00	-1.000000000000000056e-01	4.388741597075957298e+09	5.095635035939927101e+09	1.955095068625026464e+09	1.898218679282879829e+08	2.331888312371169567e+09	1.020073830651345015e+09	3.197015780863342762e+09	4.088614286003928185e+09	2.054098906516895533e+09	1.603087634995526075e+09	3.714687958789512157e+09	2.846358625903748512e+09	2.971211447259285927e+09	5.472950730020063400e+09	5.063104330673430443e+09	1.394736303237442970e+09	3.649386775270416260e+09	2.948703385288424015e+09	1.492823703625263572e+08	5.136215895740351677e+09	4.333414945992556810e+08	1.161191791761462688e+08	6.622423104296021323e-01	1.847448190106976836e+05
3.500000000000000000e+03	4.000000000000000000e+00	-1.000000000000000056e-01	3.965343647849363804e+09	5.114688741886240959e+09	1.820774373727864504e+09	2.218684268452163339e+08	2.658389376504643440e+09	1.137070467129267931e+09	3.622966453899599552e+09	4.589572533295645714e+09	2.362158861246411800e+09	1.807931396426559210e+09	4.263376265146844387e+09	3.351834216641690731e+09	3.442873349069626808e+09	5.803537853336209297e+09	5.503647741684347153e+09	1.569949310803630352e+09	4.194649662932946205e+09	3.456834397012279987e+09	1.773869242978517115e+08	5.547933731145649910e+09	4.216582509979968667e+08	1.187014128066644967e+08	1.858942701292561228e+00	3.006972778363752295e+05
3.500000000000000000e+03	4.500000000000000000e+00	-1.000000000000000056e-01	3.781443554795345783e+09	5.098337290483687401e+09	1.759324161974115133e+09	2.252834017197433114e+08	2.792297692234460831e+09	1.168832663756679535e+09	3.840652890926580906e+09	4.860689163544217110e+09	2.497517577030415058e+09	1.881291395016545057e+09	4.571136643623118401e+09	3.617479813758142948e+09	3.694849558222279549e+09	5.945076781740163803e+09	5.719405357845875740e+09	1.628348770506181479e+09	4.502197153100208282e+09	3.715217058280254364e+09	1.815606749342916310e+08	5.746222640126780510e+09	4.151593670093005896e+08	1.204564698623788059e+08	3.895292629921624172e+00	4.071616960873880307e+05
